20260401 013600;1.157310;1.157330;1.157190;1.157260;0
20260401 013700;1.157270;1.157380;1.157260;1.157340;0
20260401 013800;1.157350;1.157400;1.157310;1.157390;0
20260401 013900;1.157390;1.157450;1.157380;1.157430;0
20260401 014000;1.157440;1.157490;1.157430;1.157450;0
20260401 014100;1.157470;1.157480;1.157420;1.157420;0
20260401 014200;1.157430;1.157470;1.157380;1.157420;0
20260401 014300;1.157440;1.157460;1.157420;1.157420;0
20260401 014400;1.157450;1.157590;1.157430;1.157580;0
20260401 014500;1.157590;1.157630;1.157570;1.157570;0
20260401 014600;1.157560;1.157570;1.157460;1.157470;0
20260401 014700;1.157460;1.157530;1.157410;1.157530;0
20260401 014800;1.157530;1.157570;1.157490;1.157510;0
20260401 014900;1.157550;1.157630;1.157530;1.157570;0
20260401 015000;1.157590;1.157590;1.157480;1.157500;0
20260401 015100;1.157480;1.157530;1.157400;1.157410;0
20260401 015200;1.157400;1.157450;1.157350;1.157450;0
20260401 015300;1.157440;1.157440;1.157310;1.157360;0
20260401 015400;1.157350;1.157370;1.157280;1.157290;0
20260401 015500;1.157310;1.157340;1.157220;1.157260;0
20260401 015600;1.157260;1.157330;1.157240;1.157290;0
20260401 015700;1.157290;1.157300;1.157050;1.157170;0
20260401 015800;1.157170;1.157220;1.156960;1.156980;0
20260401 015900;1.156990;1.157010;1.156750;1.156760;0
20260401 020000;1.156790;1.157060;1.156790;1.156800;0
20260401 020100;1.156790;1.156990;1.156720;1.156820;0
20260401 020200;1.156820;1.156870;1.156650;1.156790;0
20260401 020300;1.156820;1.156820;1.156640;1.156690;0
20260401 020400;1.156700;1.156710;1.156510;1.156520;0
20260401 020500;1.156500;1.156550;1.156200;1.156290;0
20260401 020600;1.156290;1.156530;1.156250;1.156480;0
20260401 020700;1.156500;1.156560;1.156280;1.156300;0
20260401 020800;1.156280;1.156510;1.156280;1.156480;0
20260401 020900;1.156510;1.156610;1.156410;1.156510;0
20260401 021000;1.156510;1.156710;1.156510;1.156670;0
20260401 021100;1.156670;1.156760;1.156610;1.156610;0
20260401 021200;1.156640;1.156750;1.156570;1.156720;0
20260401 021300;1.156720;1.156840;1.156700;1.156810;0
20260401 021400;1.156820;1.156890;1.156620;1.156650;0
20260401 021500;1.156700;1.157020;1.156640;1.157010;0
20260401 021600;1.157010;1.157010;1.156760;1.156770;0
20260401 021700;1.156810;1.156900;1.156800;1.156880;0
20260401 021800;1.156880;1.156890;1.156610;1.156750;0
20260401 021900;1.156770;1.157020;1.156770;1.156970;0
20260401 022000;1.156960;1.157010;1.156850;1.156950;0
20260401 022100;1.156980;1.157620;1.156980;1.157470;0
20260401 022200;1.157470;1.157500;1.157330;1.157430;0
20260401 022300;1.157410;1.157670;1.157410;1.157670;0
20260401 022400;1.157660;1.157830;1.157640;1.157830;0
