id,box_id,label,created_at,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23
502,e34d5eef08891b37,very_good,1777051660,0.036692080910299,31.0,0.9347826086956942,12.0,0.3870967741935484,0.0004266521036299392,0.00810638996853306,3.0,3.883870967742013,0.0064249346403546185,1.1131829200074586,0.0,1.0,0.015361507475939527,0.005424337913441343,0.010854824525142618,96.42857142857143,23.0,0.0,0.0,0.0,0.0,0.0,0.0
506,c2a008711102372e,bad,1777054250,0.024754905099075228,7.0,0.39189189189177837,3.0,0.42857142857142855,0.00042680870860768645,0.00042680870860768645,3.0,2.171122994651882,0.004794794214504329,1.231791464349604,0.0,-1.0,-0.01707096399733505,-0.006403280950958247,-0.014313958883479883,61.904761904761905,63.0,0.0,0.0,0.0,0.0,0.0,0.0
508,3e4dfd5164ed7a68,bad,1777054416,0.054628017344393286,11.0,1.5238095238099518,6.0,0.5454545454545454,0.0008535627709928188,0.0008535627709928188,3.0,4.618556701031671,0.004338476669333479,1.5683073832245102,0.0,-1.0,0.0008537449522196059,0.017293958744570712,0.009166678475003458,66.66666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0
511,16d49454d416e9da,good,1777054658,0.025602730957966034,9.0,0.15624999999998915,4.0,0.4444444444444444,1.894982760188021e-14,0.012801365478973542,3.0,1.8340611353710548,0.005379173450417702,0.7884008039046798,1.0,1.0,0.017925277201611866,0.015534287460160353,0.04650421285036793,96.42857142857143,141.0,0.0,0.0,0.0,0.0,0.0,0.0
512,be90c76e6484b4b8,bad,1777054774,0.07005732739838022,50.0,0.7321428571426908,21.0,0.42,0.0008543576512055424,0.0008543576511865719,3.0,4.591999999999503,0.010424857916329645,0.7587379972565158,1.0,-1.0,-0.02476663848395066,-0.00041064883435993504,-0.009612468135330456,18.253968253968253,58.0,0.0,0.0,0.0,0.0,0.0,0.0
518,035578253077af79,very_bad,1777055266,0.06063633995635793,14.0,0.7319587628866498,6.0,0.42857142857142855,0.00042701647856870534,0.0012810494356871526,3.0,3.928853754941114,0.008652017879301328,1.1315471615241024,0.0,1.0,-0.01195620612499607,0.012348284680014778,0.004937911726299547,66.26984126984127,40.0,0.0,0.0,0.0,0.0,0.0,0.0
764,11a42c9a6ce7461a,very_bad,1777379726,0.1580136404207544,27.0,0.9788359788360745,12.0,0.4444444444444444,0.00042706389303183385,0.00042706389303183385,3.0,4.389830508475036,0.030659719880061522,1.3035664806238374,0.0,-1.0,-0.08028629752051494,0.0018666731639545347,0.012654956106225655,86.9047619047619,26.0,0.0,0.0,0.0,0.0,0.0,0.0
521,cbe64d54dcbba292,very_bad,1777124720,0.10094270218480718,30.0,0.8550724637681253,14.0,0.4666666666666667,0.0017108932573808812,0.005132679772123649,3.0,4.440860215053409,0.019951457501411914,1.21115126484254,0.0,1.0,0.05993048064244815,0.015496591477117247,0.03077460404080094,75.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
522,41db038ce40a096b,very_good,1777124791,0.07426915311825001,12.0,0.26605504587161444,6.0,0.5,0.003841507919896084,0.00981718690644112,3.0,1.6846473029048872,0.015706590454809315,1.013570524539446,0.0,1.0,0.08199241570153477,0.03173719367084459,0.10649648300102557,96.42857142857143,25.0,0.0,0.0,0.0,0.0,0.0,0.0
524,349ef1ca9291ccac,good,1777124902,0.048780279074540495,13.0,0.8507462686567213,6.0,0.46153846153846156,0.00042789718484822153,0.0012836915545826695,3.0,2.375000000000438,0.007746191623593087,1.6119505494505495,0.0,1.0,-0.021391106433577316,-0.005271383411141151,-0.004661359237505688,26.19047619047619,42.0,0.0,0.0,0.0,0.0,0.0,0.0
526,92b7a7b85824576f,good,1777125034,0.03167984519686297,8.0,0.5,3.0,0.375,0.0072778022749650255,0.0012843180485109381,3.0,2.252173913043396,0.008195043945264418,0.9506314580941446,0.0,1.0,-0.008562670183068947,0.0030041678950950912,-0.009149422069949302,10.714285714285714,21.0,0.0,0.0,0.0,0.0,0.0,0.0
529,befa3d4feada29c5,good,1777125147,0.03167442119275439,8.0,0.5967741935482946,3.0,0.375,0.0029962290317478075,0.003852294469395469,3.0,2.097165991902941,0.004301675585920394,1.1658542246982357,0.0,1.0,0.04024661757149944,0.0064503592599457855,0.006307482755713041,20.634920634920636,24.0,0.0,0.0,0.0,0.0,0.0,0.0
