ts,open,high,low,close,volume,datetime_utc
1774213200,1.15378,1.15378,1.15378,1.15378,1.0,2026-03-22 21:00:00
1774213500,1.15374,1.15378,1.15374,1.15378,2.0,2026-03-22 21:05:00
1774213800,1.15374,1.15378,1.15374,1.15378,4.0,2026-03-22 21:10:00
1774214100,1.15379,1.15398,1.15379,1.15398,22.0,2026-03-22 21:15:00
1774214400,1.15398,1.15398,1.15384,1.15386,20.0,2026-03-22 21:20:00
1774214700,1.15384,1.15388,1.15378,1.15386,58.0,2026-03-22 21:25:00
1774215000,1.15384,1.15392,1.15372,1.15375,26.0,2026-03-22 21:30:00
1774215300,1.15376,1.15394,1.15376,1.15387,17.0,2026-03-22 21:35:00
1774215600,1.15386,1.15394,1.15376,1.15385,33.0,2026-03-22 21:40:00
1774215900,1.15386,1.15392,1.15385,1.15392,16.0,2026-03-22 21:45:00
1774216200,1.15393,1.15393,1.1538,1.15382,42.0,2026-03-22 21:50:00
1774216500,1.15381,1.1547,1.15381,1.1542,96.0,2026-03-22 21:55:00
1774216800,1.15422,1.15504,1.15412,1.155,233.0,2026-03-22 22:00:00
1774217100,1.15499,1.15547,1.1548,1.15547,216.0,2026-03-22 22:05:00
1774217400,1.1555,1.15565,1.15481,1.15483,389.0,2026-03-22 22:10:00
1774217700,1.15485,1.15522,1.15459,1.15497,353.0,2026-03-22 22:15:00
1774218000,1.15498,1.1559,1.15498,1.15574,494.0,2026-03-22 22:20:00
1774218300,1.15573,1.15623,1.15557,1.15591,428.0,2026-03-22 22:25:00
1774218600,1.15592,1.15628,1.15583,1.15596,454.0,2026-03-22 22:30:00
1774218900,1.15595,1.15602,1.15548,1.1557,288.0,2026-03-22 22:35:00
1774219200,1.15572,1.15586,1.15539,1.15554,317.0,2026-03-22 22:40:00
1774219500,1.15555,1.15592,1.15555,1.15585,222.0,2026-03-22 22:45:00
1774219800,1.15586,1.15595,1.15574,1.15591,207.0,2026-03-22 22:50:00
1774220100,1.15592,1.15597,1.15572,1.15583,202.0,2026-03-22 22:55:00
1774220400,1.15584,1.15606,1.15574,1.15602,532.0,2026-03-22 23:00:00
1774220700,1.15602,1.15622,1.15592,1.15615,437.0,2026-03-22 23:05:00
1774221000,1.15616,1.15624,1.15598,1.15616,323.0,2026-03-22 23:10:00
1774221300,1.15616,1.15628,1.156,1.1561,325.0,2026-03-22 23:15:00
1774221600,1.15609,1.1564,1.15606,1.15638,356.0,2026-03-22 23:20:00
1774221900,1.15638,1.15638,1.15606,1.15638,344.0,2026-03-22 23:25:00
1774222200,1.15638,1.15648,1.15605,1.15616,337.0,2026-03-22 23:30:00
1774222500,1.15616,1.15616,1.15598,1.15598,216.0,2026-03-22 23:35:00
1774222800,1.15599,1.15637,1.15598,1.15633,325.0,2026-03-22 23:40:00
