ts,open,high,low,close,volume,datetime_utc
1769983200,1.1851,1.18512,1.185,1.18501,42.0,2026-02-01 22:00:00
1769984100,1.18502,1.18536,1.18484,1.1851,270.0,2026-02-01 22:15:00
1769985000,1.1851,1.18516,1.18504,1.18505,300.0,2026-02-01 22:30:00
1769985900,1.18504,1.18513,1.18464,1.18505,699.0,2026-02-01 22:45:00
1769986800,1.18506,1.18512,1.18401,1.1841,1867.0,2026-02-01 23:00:00
1769987700,1.18411,1.18468,1.18398,1.18449,2176.0,2026-02-01 23:15:00
1769988600,1.1845,1.18568,1.18442,1.18553,1951.0,2026-02-01 23:30:00
1769989500,1.18554,1.18564,1.18457,1.18463,2218.0,2026-02-01 23:45:00
1769990400,1.18464,1.18739,1.18464,1.18722,3678.0,2026-02-02 00:00:00
1769991300,1.18722,1.18748,1.18686,1.18718,3033.0,2026-02-02 00:15:00
1769992200,1.18718,1.18734,1.18664,1.18668,2921.0,2026-02-02 00:30:00
1769993100,1.18666,1.1868,1.18613,1.18666,2657.0,2026-02-02 00:45:00
1769994000,1.18666,1.18692,1.18529,1.18545,4266.0,2026-02-02 01:00:00
1769994900,1.18546,1.18644,1.18528,1.18623,3881.0,2026-02-02 01:15:00
1769995800,1.18622,1.1869,1.18596,1.18669,3126.0,2026-02-02 01:30:00
1769996700,1.18669,1.18726,1.18664,1.18706,2507.0,2026-02-02 01:45:00
1769997600,1.1871,1.18748,1.18668,1.18678,2948.0,2026-02-02 02:00:00
1769998500,1.18678,1.1873,1.18671,1.18671,2541.0,2026-02-02 02:15:00
1769999400,1.18671,1.18744,1.18671,1.18736,2038.0,2026-02-02 02:30:00
1770000300,1.18734,1.18748,1.18632,1.18632,2039.0,2026-02-02 02:45:00
1770001200,1.18632,1.18703,1.1863,1.18656,1837.0,2026-02-02 03:00:00
1770002100,1.18656,1.18719,1.18633,1.18684,1489.0,2026-02-02 03:15:00
1770003000,1.18684,1.18702,1.18634,1.18688,1976.0,2026-02-02 03:30:00
1770003900,1.18688,1.18712,1.18636,1.18641,1542.0,2026-02-02 03:45:00
1770004800,1.18642,1.18727,1.1863,1.18682,2535.0,2026-02-02 04:00:00
1770005700,1.18682,1.18694,1.18628,1.18634,1542.0,2026-02-02 04:15:00
1770006600,1.18633,1.18665,1.1858,1.18604,1423.0,2026-02-02 04:30:00
1770007500,1.18606,1.18637,1.186,1.18633,1107.0,2026-02-02 04:45:00
1770008400,1.18632,1.18638,1.18585,1.18614,1263.0,2026-02-02 05:00:00
1770009300,1.18616,1.18632,1.18522,1.18546,1240.0,2026-02-02 05:15:00
1770010200,1.18546,1.18566,1.18512,1.18526,1366.0,2026-02-02 05:30:00
1770011100,1.18524,1.18532,1.1841,1.18508,2416.0,2026-02-02 05:45:00
1770012000,1.18507,1.18546,1.18447,1.18476,2380.0,2026-02-02 06:00:00
1770012900,1.18476,1.1851,1.18432,1.18463,3292.0,2026-02-02 06:15:00
1770013800,1.18464,1.18531,1.18456,1.18528,3007.0,2026-02-02 06:30:00
1770014700,1.18527,1.1854,1.18497,1.18539,2517.0,2026-02-02 06:45:00
1770015600,1.1854,1.1863,1.18521,1.18572,3506.0,2026-02-02 07:00:00
1770016500,1.1857,1.18635,1.18542,1.1863,2396.0,2026-02-02 07:15:00
1770017400,1.1863,1.18634,1.18516,1.18568,2797.0,2026-02-02 07:30:00
1770018300,1.18567,1.18606,1.1852,1.18536,3023.0,2026-02-02 07:45:00
1770019200,1.18538,1.18619,1.18482,1.18618,4024.0,2026-02-02 08:00:00
1770020100,1.1862,1.18668,1.18572,1.18625,3051.0,2026-02-02 08:15:00
1770021000,1.18624,1.18662,1.18552,1.18566,2703.0,2026-02-02 08:30:00
1770021900,1.18566,1.18602,1.18436,1.1851,2624.0,2026-02-02 08:45:00
1770022800,1.18508,1.18542,1.18446,1.18521,3007.0,2026-02-02 09:00:00
1770023700,1.18519,1.18601,1.18478,1.1857,2781.0,2026-02-02 09:15:00
1770024600,1.1857,1.18588,1.18521,1.18554,2348.0,2026-02-02 09:30:00
1770025500,1.18554,1.18652,1.18542,1.18623,2704.0,2026-02-02 09:45:00
